# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 143K of event 'cycles:u'
# Event count (approx.): 129682211826
#
# Overhead  Command  Shared Object                   Symbol                                              
# ........  .......  ..............................  ....................................................
#
     0.00%  spindec  libnetcdf.so.19                 [.] NC_hashmapkey@plt
     0.00%  spindec  libnetcdf.so.19                 [.] NC_findattr
     0.00%  spindec  libnetcdf.so.19                 [.] free_NC_attr
     0.00%  spindec  libnetcdff.so.7.0.0             [.] __netcdf_nc_interfaces_MOD_addcnullchar
     0.00%  spindec  libnetcdf.so.19                 [.] NC3_open
     0.00%  spindec  libc.so.6                       [.] _IO_file_finish
     0.00%  spindec  libnetcdff.so.7.0.0             [.] nc_open@plt
     0.00%  spindec  libnetcdf.so.19                 [.] ncx_get_uint32
     0.00%  spindec  libc.so.6                       [.] fstat
     0.00%  spindec  libnetcdf.so.19                 [.] fopen64@plt
     0.00%  spindec  libnetcdf.so.19                 [.] NC_lookupvar
     0.00%  spindec  libnetcdf.so.19                 [.] __fxstat64@plt
     0.00%  spindec  libnetcdf.so.19                 [.] NC_crc64@plt
     0.00%  spindec  libnetcdf.so.19                 [.] fseek@plt
     0.00%  spindec  libnetcdf.so.19                 [.] nc_inq_var
     0.00%  spindec  libnetcdf.so.19                 [.] NC3_close
     0.00%  spindec  libnetcdff.so.7.0.0             [.] _gfortran_shape_4@plt
     0.00%  spindec  libmpi.so.40.30.3               [.] pthread_mutex_unlock@plt
     0.00%  spindec  libnetcdf.so.19                 [.] __strdup@plt
     0.00%  spindec  libnetcdf.so.19                 [.] fault_v1hs
     0.00%  spindec  libnetcdff.so.7.0.0             [.] _gfortran_concat_string@plt
     0.00%  spindec  spindec                         [.] __netcdf_MOD_nf90_close@plt
     0.00%  spindec  libnetcdf.so.19                 [.] ncio_px_new
     0.00%  spindec  libmpi.so.40.30.3               [.] pthread_mutex_lock@plt
     0.00%  spindec  libnetcdf.so.19                 [.] ncx_putn_double_double
     0.00%  spindec  libc.so.6                       [.] fopen64
     0.00%  spindec  libnetcdf.so.19                 [.] NCedgeck.isra.0
     0.00%  spindec  libgfortran.so.5.0.0            [.] _gfortran_string_len_trim
     0.00%  spindec  libnetcdf.so.19                 [.] nc_put_var1_double
     0.00%  spindec  spindec                         [.] free@plt
     0.00%  spindec  libnetcdf.so.19                 [.] nc_inq_varid
     0.00%  spindec  libnetcdf.so.19                 [.] free_NC_dimarrayV@plt
     0.00%  spindec  libnetcdf.so.19                 [.] posixio_open@plt
     0.00%  spindec  libc.so.6                       [.] __underflow
     0.00%  spindec  libc.so.6                       [.] _IO_file_fopen
     0.00%  spindec  libgfortran.so.5.0.0            [.] _gfortran_string_scan
     0.00%  spindec  libnetcdf.so.19                 [.] locate.isra.1
